,Label
206,negatif
207,positif
208,positif
209,positif
210,positif
211,negatif
212,negatif
213,positif
214,positif
215,positif
216,positif
217,positif
218,positif
219,positif
220,negatif
221,positif
222,positif
223,negatif
224,negatif
225,positif
226,negatif
227,negatif
228,positif
229,positif
230,positif
231,negatif
232,negatif
233,positif
234,positif
235,negatif
236,negatif
237,positif
238,positif
239,positif
240,positif
241,negatif
242,positif
243,positif
244,positif
245,positif
246,positif
247,positif
248,positif
249,negatif
250,positif
251,negatif
252,positif
253,positif
254,positif
255,positif
256,negatif
257,negatif
258,positif
259,positif
260,positif
261,positif
262,positif
263,positif
264,positif
265,negatif
266,negatif
267,positif
268,positif
269,positif
270,positif
271,positif
272,positif
273,negatif
274,negatif
275,positif
276,positif
277,negatif
278,negatif
279,positif
280,positif
281,positif
282,positif
283,positif
284,positif
285,positif
286,negatif
287,negatif
288,negatif
289,negatif
290,positif
291,positif
292,positif
293,positif
294,positif
295,positif
296,positif
297,positif
298,positif
299,positif
300,positif
301,positif
302,positif
303,negatif
304,positif
305,negatif
306,positif
307,positif
308,positif
309,negatif
310,positif
311,positif
312,positif
313,negatif
314,positif
315,positif
316,positif
317,positif
318,positif
319,positif
320,positif
321,negatif
322,negatif
323,positif
324,negatif
325,positif
326,positif
327,positif
328,positif
329,negatif
330,positif
331,negatif
332,positif
333,positif
334,negatif
335,positif
336,positif
337,negatif
338,negatif
339,positif
340,positif
341,positif
342,positif
343,negatif
344,positif
345,negatif
346,negatif
347,positif
348,negatif
349,positif
350,negatif
351,positif
352,positif
353,negatif
354,positif
355,negatif
356,positif
357,negatif
358,positif
359,negatif
360,positif
361,positif
362,positif
363,positif
364,positif
365,positif
366,positif
367,positif
368,positif
369,positif
370,positif
371,positif
372,positif
373,positif
374,positif
375,negatif
376,positif
377,positif
378,negatif
379,positif
380,positif
381,positif
382,positif
383,negatif
384,negatif
385,negatif
386,positif
387,negatif
388,negatif
389,negatif
390,positif
391,positif
392,negatif
393,negatif
394,negatif
395,positif
396,negatif
397,negatif
398,positif
399,positif
400,positif
401,positif
402,positif
403,negatif
404,positif
405,positif
406,positif
407,positif
408,negatif
409,positif
410,positif
411,positif
412,positif
413,positif
414,positif
415,positif
416,positif
417,negatif
418,positif
419,positif
420,negatif
421,positif
422,negatif
423,positif
424,positif
425,positif
426,negatif
427,positif
428,negatif
429,negatif
430,positif
431,positif
432,positif
433,positif
434,positif
435,negatif
436,positif
437,positif
438,positif
439,negatif
440,negatif
441,negatif
442,positif
443,positif
444,positif
445,positif
446,negatif
447,positif
448,negatif
449,positif
450,positif
451,positif
452,positif
453,negatif
454,negatif
455,negatif
456,positif
457,positif
458,negatif
459,positif
460,negatif
461,positif
462,negatif
463,positif
464,positif
465,negatif
466,negatif
467,positif
468,positif
469,negatif
470,negatif
471,positif
472,positif
473,negatif
474,negatif
475,negatif
476,positif
477,negatif
478,positif
479,positif
480,positif
481,positif
482,negatif
483,negatif
484,positif
485,positif
486,positif
487,negatif
488,positif
489,negatif
490,negatif
491,positif
492,positif
493,negatif
494,negatif
495,negatif
496,positif
497,negatif
498,positif
499,positif
500,negatif
501,positif
502,positif
503,negatif
504,positif
505,positif
506,positif
507,negatif
508,positif
509,negatif
510,positif
511,negatif
512,negatif
513,positif
514,positif
515,positif
516,positif
517,positif
518,positif
519,positif
520,positif
521,negatif
522,positif
523,positif
524,positif
525,positif
526,negatif
527,negatif
528,negatif
529,positif
530,negatif
531,positif
532,negatif
533,positif
534,positif
535,positif
536,negatif
537,negatif
538,positif
539,negatif
540,positif
541,positif
542,positif
543,positif
544,positif
545,negatif
546,positif
547,positif
548,positif
549,positif
550,positif
551,negatif
552,positif
553,positif
554,negatif
555,positif
556,negatif
557,negatif
558,positif
559,positif
560,positif
561,positif
562,negatif
563,positif
564,positif
565,positif
566,positif
567,positif
568,positif
569,negatif
570,positif
571,positif
572,positif
573,positif
574,negatif
575,positif
576,positif
577,negatif
578,positif
579,negatif
580,positif
581,positif
582,positif
583,positif
584,negatif
585,negatif
586,positif
587,positif
588,negatif
589,negatif
590,positif
591,negatif
592,positif
593,negatif
594,positif
595,negatif
596,positif
597,positif
598,negatif
599,positif
600,negatif
601,positif
602,negatif
603,negatif
604,positif
605,positif
606,positif
607,positif
608,positif
609,negatif
610,positif
611,negatif
612,positif
613,positif
614,negatif
615,positif
616,positif
617,positif
618,positif
619,positif
620,positif
621,positif
622,positif
623,positif
624,negatif
625,negatif
626,positif
627,positif
628,positif
629,negatif
630,positif
631,positif
632,negatif
633,positif
634,positif
635,negatif
636,positif
637,positif
638,negatif
639,positif
640,positif
641,positif
642,negatif
643,negatif
644,positif
645,negatif
646,negatif
647,positif
648,positif
649,positif
650,positif
651,positif
652,positif
653,positif
654,positif
655,negatif
656,positif
657,positif
658,positif
659,positif
660,negatif
661,positif
662,positif
663,positif
664,positif
665,positif
666,negatif
667,positif
668,positif
669,negatif
670,negatif
671,positif
672,positif
673,positif
674,positif
675,positif
676,positif
677,positif
678,positif
679,negatif
680,negatif
681,positif
682,positif
683,positif
684,positif
685,positif
686,positif
687,positif
688,negatif
689,positif
690,positif
691,positif
692,negatif
693,positif
694,negatif
695,positif
696,negatif
697,negatif
698,positif
699,positif
700,negatif
701,positif
702,positif
703,negatif
704,positif
705,positif
706,positif
707,positif
708,positif
709,positif
710,negatif
711,positif
712,negatif
713,negatif
714,positif
715,positif
